  x   y  llave  puerta  bola |       UP     DOWN     LEFT    RIGHT   PICKUP   TOGGLE
  3   1      1       0     1 |   -0.015   -0.008    0.000   -0.080   -0.221   -0.080
  3   2      0       0     0 |    0.055   -0.008    0.023    0.000   -0.152   -0.220
  3   2      0       0     1 |    0.000   -0.800    0.000    0.000    0.000    0.000
  3   2      1       0     0 |   -0.009    0.000   -0.030   -0.154   -0.154   -0.154
  3   2      1       0     1 |    0.000    0.111   -0.008    0.000    0.000    0.000
  3   2      1       1     1 |    0.000    0.000   -0.008    0.000    0.000   -0.080
  3   3      0       0     0 |    0.000   -0.022    0.211   -0.137   -0.524   -0.080
  3   3      1       0     0 |    0.000   -0.008    0.048    0.000    0.000   -0.080
  3   3      1       0     1 |    0.001    0.000    0.020   -0.080    0.076    4.426
  3   3      1       1     1 |   -0.008   -0.008    0.000   -0.008    0.000   -0.154
  3   4      0       0     0 |   -0.015   -0.530   -0.030   -0.534   -0.532   -0.569
  3   4      1       0     0 |   -0.015   -0.154   -0.008   -0.285   -0.080   -0.080
  3   4      1       1     1 |    0.000   -0.284   -0.008   -0.221   -0.154    0.000
  4   3      1       1     1 |    0.000    0.000    0.000   -0.008    0.000    0.000
  5   0      1       1     1 |    0.000    0.000    0.000    7.992    0.000    0.000
  5   1      1       1     1 |   -0.008    0.000    0.000    0.000    0.000    0.000
  5   3      1       1     1 |    0.000   -0.008    0.000   -0.008    0.000    0.000
  5   4      1       1     1 |    0.000    0.000    0.000   -0.008    0.000    0.000
  6   1      1       1     1 |    0.000    0.000   -0.008    0.000    0.000    0.000
  6   2      1       1     1 |   -0.008    0.000    0.000    0.000    0.000    0.000
  6   3      1       1     1 |   -0.008   -0.008   -0.008    0.000    0.000   -0.154
  6   4      1       1     1 |   -0.015    0.000    0.000    0.000    0.000    0.000

Total estados: 97
Alpha: 0.08, Gamma: 0.99
Epsilon: 0.999400
